Evasion,Adulto_Mayor,Pareja,Dependientes,Meses_Contrato,Multiples_Lineas,Servicio_Internet,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Contrato,Facturacion_Electronica,Metodo_Pago,Cargo_Mensual,Puntaje_Inseguro,Total_Servicios
0,0,1,1,23,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,83.75,4.0,2.0
0,0,0,0,3,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,4.0,1.0
1,0,1,1,4,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.35,4.0,1.0
1,0,1,1,1,No phone service,DSL,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),30.5,3.0,1.0
0,0,1,1,55,0,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),103.7,1.0,6.0
0,0,1,1,54,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.4,4.0,1.0
0,0,0,0,26,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.6,4.0,1.0
0,0,1,1,69,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.7,4.0,1.0
0,0,1,1,37,0,Fiber optic,0,0,0,0,1,1,One year,0,Credit card (automatic),91.2,4.0,3.0
0,0,1,0,49,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.45,4.0,1.0
0,0,1,0,66,1,Fiber optic,1,1,1,1,1,1,One year,0,Bank transfer (automatic),115.8,0.0,7.0
0,0,0,0,67,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,20.55,4.0,1.0
0,0,1,1,20,No phone service,DSL,1,0,1,1,0,0,Two year,1,Credit card (automatic),39.4,1.0,3.0
0,0,0,1,43,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Electronic check,25.1,4.0,1.0
0,0,1,0,55,1,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.8,3.0,3.0
0,0,1,0,59,1,Fiber optic,1,1,0,0,1,0,Month-to-month,1,Electronic check,94.75,2.0,4.0
0,0,1,1,12,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.3,4.0,1.0
0,0,1,1,27,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.75,4.0,1.0
1,1,0,0,2,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,49.25,3.0,2.0
0,0,0,0,27,0,DSL,0,1,1,1,1,1,One year,0,Mailed check,78.2,1.0,6.0
0,0,1,1,25,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.5,4.0,1.0
0,0,1,1,25,0,DSL,1,1,1,0,0,0,One year,1,Bank transfer (automatic),61.6,1.0,4.0
0,0,0,1,29,No phone service,DSL,1,1,1,1,0,0,Month-to-month,1,Mailed check,45.0,0.0,4.0
0,0,1,0,72,1,DSL,0,1,1,1,1,1,Two year,1,Bank transfer (automatic),85.15,1.0,6.0
0,0,0,0,14,0,DSL,0,1,0,0,0,0,One year,0,Credit card (automatic),51.45,3.0,2.0
0,0,0,0,35,0,Fiber optic,0,0,1,1,1,1,One year,1,Electronic check,99.25,2.0,5.0
0,0,0,0,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,44.3,4.0,1.0
0,0,0,0,29,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,94.2,3.0,4.0
0,0,0,0,64,1,DSL,1,1,1,1,1,0,One year,0,Electronic check,81.25,0.0,6.0
0,0,1,1,39,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Credit card (automatic),99.95,3.0,4.0
0,1,0,0,40,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,91.55,4.0,3.0
1,0,0,0,40,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Credit card (automatic),104.5,2.0,5.0
1,1,0,0,11,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,95.0,3.0,4.0
0,0,1,0,6,1,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,50.35,4.0,1.0
0,0,0,0,30,1,DSL,1,0,0,0,0,1,Month-to-month,1,Mailed check,64.5,3.0,3.0
0,0,0,0,27,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.4,4.0,1.0
0,1,1,0,70,1,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,104.8,2.0,5.0
0,0,1,0,57,1,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),109.4,1.0,6.0
0,0,1,0,58,0,DSL,0,0,1,0,0,0,One year,0,Credit card (automatic),50.3,3.0,2.0
0,0,0,0,16,1,DSL,0,1,1,0,0,1,Month-to-month,1,Bank transfer (automatic),71.4,2.0,4.0
0,0,1,0,69,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,116.0,0.0,7.0
1,0,0,0,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.85,4.0,1.0
1,0,0,1,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.75,3.0,4.0
0,1,1,1,32,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Mailed check,93.95,3.0,4.0
0,0,1,1,16,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Bank transfer (automatic),90.8,3.0,3.0
1,0,1,0,49,1,DSL,1,0,1,1,1,1,One year,0,Electronic check,84.35,1.0,6.0
0,0,1,0,71,No phone service,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),58.25,1.0,5.0
0,0,0,0,33,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Electronic check,107.55,2.0,5.0
0,0,1,0,10,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.95,4.0,1.0
1,0,1,0,21,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Electronic check,111.2,1.0,6.0
1,0,1,1,37,No phone service,DSL,1,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),40.2,1.0,3.0
0,1,0,0,26,0,Fiber optic,1,0,0,0,1,0,Month-to-month,1,Credit card (automatic),85.8,3.0,3.0
0,0,0,0,50,No phone service,DSL,1,0,0,1,0,0,One year,1,Mailed check,35.4,2.0,2.0
1,0,0,0,7,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,73.85,4.0,1.0
0,0,1,1,61,1,DSL,1,1,1,1,1,1,Two year,0,Mailed check,88.1,0.0,7.0
1,0,0,0,15,0,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,101.35,2.0,5.0
0,0,0,1,26,No phone service,DSL,1,0,0,1,0,1,Month-to-month,0,Mailed check,45.8,2.0,3.0
0,0,1,0,72,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,94.65,3.0,4.0
0,0,1,1,44,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),20.5,4.0,1.0
0,0,0,0,66,1,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Credit card (automatic),89.4,3.0,3.0
1,0,0,0,2,0,Fiber optic,1,1,0,1,0,0,Month-to-month,1,Electronic check,86.25,1.0,4.0
0,1,0,0,44,0,DSL,0,0,1,1,1,1,One year,0,Bank transfer (automatic),74.85,2.0,5.0
1,0,0,0,12,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Bank transfer (automatic),89.75,3.0,3.0
0,1,1,0,69,1,Fiber optic,0,1,1,1,1,1,Two year,1,Electronic check,109.95,1.0,6.0
1,0,0,0,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Mailed check,80.2,3.0,2.0
1,0,0,0,3,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,4.0,1.0
0,0,1,0,2,0,Fiber optic,1,1,0,0,1,0,Month-to-month,0,Electronic check,90.35,2.0,4.0
0,1,0,0,27,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),86.45,2.0,3.0
0,0,0,0,26,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,20.3,4.0,1.0
0,1,1,0,39,1,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,101.25,3.0,4.0
1,0,0,0,25,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),94.7,4.0,3.0
1,0,0,0,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Mailed check,70.9,4.0,1.0
1,0,1,0,22,0,DSL,1,0,0,1,0,0,Month-to-month,1,Electronic check,54.2,2.0,3.0
0,0,0,0,72,1,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,114.9,0.0,7.0
0,0,0,0,24,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),19.55,4.0,1.0
0,0,1,0,19,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,86.85,4.0,2.0
0,0,1,1,71,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.35,4.0,1.0
0,1,1,0,33,1,Fiber optic,1,0,1,1,1,1,Month-to-month,1,Bank transfer (automatic),109.9,1.0,6.0
0,0,0,0,3,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.95,4.0,1.0
0,0,1,1,47,1,Fiber optic,0,1,0,0,1,0,Month-to-month,0,Electronic check,87.2,3.0,3.0
0,0,1,1,62,0,Fiber optic,1,1,1,1,1,1,Two year,0,Mailed check,108.15,0.0,7.0
0,0,0,0,71,1,Fiber optic,1,1,1,1,1,1,One year,1,Bank transfer (automatic),116.3,0.0,7.0
0,1,1,0,7,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,89.0,4.0,3.0
0,0,1,1,27,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Mailed check,74.4,3.0,2.0
0,0,0,0,2,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.05,4.0,1.0
0,0,0,1,25,No phone service,DSL,1,0,0,1,0,0,Two year,0,Bank transfer (automatic),35.05,2.0,2.0
0,1,0,0,30,0,DSL,1,1,0,0,1,1,Month-to-month,1,Electronic check,74.75,2.0,5.0
1,1,1,0,58,0,Fiber optic,1,1,0,1,1,1,One year,1,Credit card (automatic),105.5,1.0,6.0
1,0,1,0,10,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.25,4.0,2.0
0,0,0,0,9,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Credit card (automatic),75.2,4.0,1.0
1,1,1,0,6,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.35,4.0,2.0
0,0,1,1,69,1,Fiber optic,1,0,1,0,0,0,One year,0,Bank transfer (automatic),84.45,2.0,3.0
0,1,0,0,66,1,Fiber optic,1,0,0,0,1,1,Two year,1,Bank transfer (automatic),102.4,3.0,4.0
1,0,0,0,70,1,Fiber optic,1,1,1,1,1,1,One year,0,Credit card (automatic),115.55,0.0,7.0
1,0,0,0,25,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),25.3,4.0,1.0
0,0,1,1,46,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.25,4.0,1.0
0,0,1,0,54,1,Fiber optic,1,1,1,1,1,1,One year,1,Mailed check,114.65,0.0,7.0
1,0,0,0,15,0,Fiber optic,1,0,1,1,1,1,Month-to-month,0,Electronic check,105.1,1.0,6.0
0,0,1,1,12,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.4,4.0,1.0
0,0,0,0,22,No phone service,DSL,0,1,0,0,1,1,Month-to-month,1,Electronic check,50.35,3.0,3.0
0,0,1,0,70,No phone service,DSL,0,1,1,1,1,1,Two year,0,Bank transfer (automatic),57.8,1.0,5.0
0,0,0,0,30,0,Fiber optic,1,1,1,0,0,0,Month-to-month,1,Credit card (automatic),84.3,1.0,4.0
0,0,1,1,71,1,Fiber optic,0,1,0,0,1,1,One year,0,Bank transfer (automatic),100.55,3.0,4.0
0,0,1,0,30,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Credit card (automatic),19.8,4.0,1.0
1,0,1,1,4,1,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Bank transfer (automatic),84.8,2.0,3.0
1,0,0,0,2,0,Fiber optic,0,0,1,0,0,1,Month-to-month,1,Electronic check,85.85,3.0,3.0
0,0,0,1,10,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.95,4.0,1.0
0,1,0,0,4,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Electronic check,75.35,3.0,2.0
0,1,0,0,52,No phone service,DSL,1,0,0,0,1,1,Month-to-month,1,Credit card (automatic),48.8,3.0,3.0
1,0,0,0,5,1,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,47.15,4.0,1.0
0,0,1,1,8,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.15,4.0,1.0
0,1,0,0,2,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,44.3,4.0,1.0
0,0,0,0,3,0,Fiber optic,0,1,0,0,0,1,Month-to-month,0,Electronic check,84.3,3.0,3.0
0,0,0,0,19,1,DSL,0,0,1,1,0,0,Month-to-month,0,Electronic check,59.55,2.0,3.0
0,0,0,0,72,1,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),69.65,0.0,5.0
0,1,1,0,63,No phone service,DSL,1,0,0,1,0,0,One year,0,Bank transfer (automatic),36.1,2.0,2.0
0,0,1,0,66,No phone service,DSL,1,1,1,1,1,0,Two year,1,Bank transfer (automatic),56.6,0.0,5.0
1,0,0,0,1,0,Fiber optic,0,0,0,1,0,0,Month-to-month,1,Electronic check,75.9,3.0,2.0
0,0,0,0,60,1,Fiber optic,0,0,1,0,0,0,One year,1,Bank transfer (automatic),79.2,3.0,2.0
0,0,1,1,48,No phone service,DSL,1,0,1,0,0,1,One year,0,Credit card (automatic),45.0,2.0,3.0
1,0,0,0,1,0,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Credit card (automatic),85.55,3.0,3.0
1,0,0,0,15,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,93.35,4.0,3.0
0,0,1,0,50,1,Fiber optic,1,1,0,1,1,1,Month-to-month,1,Bank transfer (automatic),109.65,1.0,6.0
0,0,1,1,72,1,DSL,1,1,1,1,1,1,Two year,0,Credit card (automatic),89.7,0.0,7.0
0,0,0,0,46,1,Fiber optic,1,1,0,0,0,0,Month-to-month,0,Mailed check,84.25,2.0,3.0
0,0,1,1,72,1,DSL,1,1,1,1,1,1,Two year,0,Bank transfer (automatic),92.65,0.0,7.0
0,0,1,1,1,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.7,4.0,1.0
0,0,0,0,1,1,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,50.1,4.0,1.0
0,1,0,0,67,0,Fiber optic,1,1,0,1,1,0,Two year,1,Bank transfer (automatic),92.45,1.0,5.0
0,0,1,1,48,1,DSL,0,1,0,1,1,1,Two year,0,Electronic check,79.65,2.0,5.0
0,0,0,0,72,0,Fiber optic,1,1,1,1,1,1,Two year,1,Electronic check,109.9,0.0,7.0
0,0,1,0,52,1,DSL,1,1,1,1,0,1,One year,1,Credit card (automatic),81.4,0.0,6.0
0,0,1,1,67,0,DSL,0,1,0,0,0,0,One year,0,Credit card (automatic),50.55,3.0,2.0
1,0,1,1,28,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,81.05,4.0,2.0
0,0,1,1,32,1,DSL,0,1,1,0,0,0,Month-to-month,0,Bank transfer (automatic),62.45,2.0,3.0
1,1,1,0,27,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.2,3.0,2.0
0,0,0,0,3,0,Fiber optic,0,1,1,0,0,1,Month-to-month,0,Electronic check,90.4,2.0,4.0
1,0,0,0,2,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,85.65,4.0,2.0
1,0,0,1,9,0,DSL,0,0,1,1,1,1,Month-to-month,1,Mailed check,72.9,2.0,5.0
0,0,1,1,50,1,DSL,1,0,0,1,1,0,Two year,1,Credit card (automatic),70.5,2.0,4.0
0,0,1,1,71,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.1,4.0,1.0
1,1,1,0,32,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,74.9,4.0,1.0
0,0,1,1,16,0,Fiber optic,1,0,1,0,1,1,Month-to-month,0,Bank transfer (automatic),100.7,2.0,5.0
0,0,1,1,67,1,Fiber optic,0,0,1,1,1,1,Two year,1,Bank transfer (automatic),105.65,2.0,5.0
0,0,1,1,72,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),114.3,0.0,7.0
1,0,0,0,3,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.75,4.0,1.0
0,0,1,1,23,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,24.35,4.0,1.0
0,0,1,1,72,1,DSL,1,1,1,1,0,0,Two year,0,Bank transfer (automatic),69.85,0.0,5.0
0,0,1,1,7,No phone service,DSL,1,1,1,0,1,1,Month-to-month,0,Mailed check,58.85,1.0,5.0
0,0,1,1,8,0,DSL,0,0,0,0,1,0,Month-to-month,1,Electronic check,54.4,4.0,2.0
0,0,1,1,66,No phone service,DSL,0,0,0,1,1,1,Two year,0,Bank transfer (automatic),50.55,3.0,3.0
1,0,0,0,5,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,21.05,4.0,1.0
1,0,0,0,49,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.7,2.0,5.0
0,0,1,0,63,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),19.95,4.0,1.0
0,1,1,1,12,No phone service,DSL,0,0,0,1,0,0,Month-to-month,1,Mailed check,29.3,3.0,1.0
0,0,1,1,27,0,DSL,1,1,0,0,0,0,Month-to-month,1,Credit card (automatic),54.75,2.0,3.0
0,0,0,0,35,0,DSL,1,1,1,0,0,0,Month-to-month,0,Electronic check,60.55,1.0,4.0
0,0,1,1,54,1,DSL,0,1,1,1,1,1,Month-to-month,1,Electronic check,86.2,1.0,6.0
1,0,0,0,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.45,4.0,3.0
0,0,0,0,5,0,DSL,0,0,1,1,1,0,Month-to-month,1,Credit card (automatic),63.95,2.0,4.0
0,0,0,0,19,0,DSL,0,1,0,1,0,1,One year,1,Bank transfer (automatic),65.35,2.0,4.0
0,0,1,1,52,No phone service,DSL,0,1,1,1,1,0,Two year,0,Mailed check,50.2,1.0,4.0
0,0,1,1,72,No phone service,DSL,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),63.8,0.0,6.0
0,0,0,0,32,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.05,4.0,1.0
1,0,1,0,8,0,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Electronic check,101.15,2.0,5.0
0,0,0,0,41,1,DSL,0,0,1,0,0,1,One year,0,Mailed check,65.0,3.0,3.0
0,0,0,0,5,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Mailed check,19.25,4.0,1.0
0,0,0,1,11,No phone service,DSL,1,0,0,1,0,0,One year,1,Mailed check,36.05,2.0,2.0
1,0,0,0,5,0,Fiber optic,0,0,0,1,1,1,Month-to-month,1,Electronic check,96.1,3.0,4.0
0,0,0,0,16,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.05,4.0,1.0
0,1,0,0,71,1,Fiber optic,0,1,0,1,1,1,One year,0,Bank transfer (automatic),105.75,2.0,5.0
0,0,0,0,11,No phone service,DSL,0,1,1,1,0,0,One year,1,Credit card (automatic),40.4,1.0,3.0
1,0,1,1,61,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,99.15,3.0,4.0
0,0,1,0,71,0,DSL,1,1,1,1,1,1,One year,1,Bank transfer (automatic),84.8,0.0,7.0
0,0,0,0,9,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,4.0,1.0
0,0,0,0,6,0,DSL,1,0,0,0,0,0,Month-to-month,1,Electronic check,49.45,3.0,2.0
1,0,0,0,26,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),88.8,4.0,3.0
0,0,0,0,6,0,DSL,1,1,0,0,0,0,Month-to-month,0,Mailed check,55.15,2.0,3.0
0,0,0,0,11,0,Fiber optic,0,0,1,0,0,1,Month-to-month,0,Electronic check,84.8,3.0,3.0
1,0,1,0,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.55,4.0,2.0
0,0,1,0,49,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.15,4.0,1.0
0,0,1,1,3,0,DSL,0,1,0,0,1,0,Month-to-month,1,Credit card (automatic),58.7,3.0,3.0
0,0,0,0,53,0,Fiber optic,1,1,1,1,0,1,Two year,0,Mailed check,99.5,0.0,6.0
1,0,1,1,23,0,Fiber optic,1,0,0,1,1,1,Month-to-month,1,Electronic check,99.85,2.0,5.0
1,0,0,0,2,0,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,45.35,4.0,1.0
1,0,0,0,1,0,DSL,1,0,0,0,0,0,Month-to-month,1,Mailed check,48.55,3.0,2.0
0,0,0,1,3,1,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,26.4,4.0,1.0
1,1,1,0,68,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,100.2,3.0,4.0
1,0,0,0,8,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,94.7,3.0,4.0
0,0,1,0,70,1,Fiber optic,0,0,1,0,1,1,One year,1,Electronic check,97.65,3.0,4.0
0,0,1,1,39,1,Fiber optic,0,0,1,0,1,1,One year,0,Electronic check,100.0,3.0,4.0
1,0,0,0,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.1,4.0,1.0
1,0,0,0,3,0,Fiber optic,0,1,0,1,1,1,Month-to-month,1,Electronic check,97.9,2.0,5.0
0,0,1,0,60,1,Fiber optic,0,1,1,0,1,1,One year,0,Bank transfer (automatic),102.5,2.0,5.0
1,0,1,0,5,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Electronic check,69.95,4.0,1.0
1,1,0,0,3,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,81.35,3.0,2.0
0,0,1,0,55,1,DSL,1,1,0,1,0,0,One year,1,Credit card (automatic),66.05,1.0,4.0
0,0,0,0,72,No phone service,DSL,1,0,1,1,1,1,Two year,1,Credit card (automatic),61.2,1.0,5.0
0,1,1,0,72,0,DSL,1,1,1,1,1,0,Two year,0,Bank transfer (automatic),74.4,0.0,6.0
1,0,0,0,41,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,106.3,2.0,5.0
0,0,0,0,60,No phone service,DSL,1,1,1,0,0,0,Two year,0,Bank transfer (automatic),39.6,1.0,3.0
1,0,0,0,6,0,Fiber optic,0,0,0,0,1,1,Month-to-month,0,Electronic check,89.3,4.0,3.0
0,0,1,0,46,1,Fiber optic,0,1,1,1,1,1,Two year,1,Credit card (automatic),108.9,1.0,6.0
0,0,0,0,15,0,0,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.9,4.0,1.0
1,0,1,0,58,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Credit card (automatic),102.1,2.0,5.0
